CRN,Crse,Sect,Title,Course,Cr,GM,Type,Days,Time,Loc,P-Term,Dates,Instructor,Fee,Max,Enrl,AVL,XL-Max,XL-Enrl,Wait,Rsrvd,Status,Lib Ed,Perm
20119,MUS 198,03 ,Priv Inst - Bass Acoustic,MUS 198 Priv Inst - Bass Acoustic,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Black, D  ",-,30 ,1 ,29 ,-,-,0,-,Open ,-,IN 
20120,MUS 198,04 ,Priv Inst - Piano,MUS 198 Priv Inst - Piano,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,30 ,3 ,27 ,-,-,0,-,Open ,-,IN 
20122,MUS 198,05 ,Priv Inst - Percussion,MUS 198 Priv Inst - Percussion,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Dimond, T  ",-,30 ,0 ,30 ,-,-,0,-,Open ,-,IN 
20125,MUS 198,07 ,Priv Inst - Viola,MUS 198 Priv Inst - Viola,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Ho, L  ",-,30 ,0 ,30 ,-,-,0,-,Open ,-,IN 
20127,MUS 198,08 ,Priv Inst - Violin,MUS 198 Priv Inst - Violin,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Ho, L  ",-,30 ,2 ,28 ,-,-,0,-,Open ,-,IN 
20129,MUS 198,09 ,Priv Inst - Composition,MUS 198 Priv Inst - Composition,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,30 ,3 ,27 ,-,-,0,-,Open ,-,IN 
20147,MUS 198,11 ,Priv Inst - Bass Electric,MUS 198 Priv Inst - Bass Electric,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,30 ,0 ,30 ,-,-,0,-,Open ,-,IN 
20150,MUS 198,12 ,Priv Inst - Bass Jazz,MUS 198 Priv Inst - Bass Jazz,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,30 ,0 ,30 ,-,-,0,-,Open ,-,IN 
20152,MUS 198,13 ,Priv Inst - Bassoon,MUS 198 Priv Inst - Bassoon,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Muller, D  ",-,30 ,0 ,30 ,-,-,0,-,Open ,-,IN 
20156,MUS 198,14 ,Priv Inst - Cello,MUS 198 Priv Inst - Cello,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,30 ,0 ,30 ,-,-,0,-,Open ,-,IN 
20158,MUS 198,15 ,Priv Inst - Clarinet,MUS 198 Priv Inst - Clarinet,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"LeVelle, T  ",-,30 ,1 ,29 ,-,-,0,-,Open ,-,IN 
20163,MUS 198,16 ,Priv Inst - Flute,MUS 198 Priv Inst - Flute,0-2,L,CLAS ,-,-,-,Full Term,01/11/2023-04/24/2023 ,"Lozano, D  ",-,30 ,1 ,29 ,-,-,0,-,Open ,-,IN 
