Year,Course,Grade,value
2021,CHEM 233A Organic Chemistry Laboratory,B+,1
2021,MATH 141 Calculus & Analytical Geo I,A-,1
2021,INTD 218 Insects and People,A-,1
2021,BIOL 496 Undergraduate Research,A,1
2021,BIOL 384 Marine Biology,B+,1
2021,BIOL 496 Undergraduate Research,A,1
2021,BIOL 496 Undergraduate Research,A,1
2021,BIOL 496 Undergraduate Research,A,1
2021,BIOL 493 Senior Seminar,A,1
2021,BSAD 390 Intl Legal Issues in Mgmt.,A-,1
2021,BSAD 231 Business Law,B-,1
2018,CHEM 110B General Chemistry II,C+,1
2018,CHEM 110A General Chemistry I,B,1
2018,CHEM 496 Research,A,1
2021,CHEM 220A Quantitative Analysis Theory,B-,1
2021,CHEM 220B Quantitative Analysis Lab,C+,1
2018,BSAD 330 Management and Org Behavior,A,1
2018,BIOL 345 Comparative Vertebrate Anatomy,B+,1
2019,CHEM 231B Organic Chemistry II,B+,1
2019,CHEM 233B Organic Chemistry II Lab,A,1
2019,BIOL 383 Genetics,B,1
2021,EDUC 606 Eductnl Inqry Practicum,A,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2017,EDUC 590 Special Topics,A,1
2021,EDUC 605 Introduction Education Inquiry,A,1
2021,EDUC 533 CreatPost ClassrmMang&BhvrSys,A-,1
2021,EDUC 534 Chctr&InstrctPrctsStudntsDisab,A,1
2021,KNS 313 Exercise Physiology,B-,1
2021,ART 219 Ceramic Sculpture Workshop,A,1
2021,KNS 440 Motor Learning & Control,C,1
2021,PSYC 336 Cognitive Psychology,C+,1
2021,COSC 190 AI Computer Vision & Cognition,B-,1
2017,BIOL 300A Human Physiology & Anatomy I,A-,1
2017,BIOL 302 Applied Human Anatomy and Phys,C,1
2018,KNS 311 Biomechanics,B,1
2020,HIST 307 DIY American History,B,1
2021,CHDV 488 Child Development Practicum,B,1
2021,CHDV 390 Adv Topic in Child Development,B,1
2021,EDUC 300 Soc & Hist Perspctvs on Educ,C+,1
2019,EDUC 262 Children's Literature,D,1
2021,HIST 242 Intro Colonial Latin America,B,1
2021,EDUC 406 Learning and Learners,B-,1
2021,CHDV 315 Infancy through Early Chldhd,C,1
2021,CHDV 497 Senior Seminar in Child Dev.,B-,1
2018,EDUC 290 Adolescent Literature,C+,1
2021,EDUC 430 Found of Special Education,B,1
2021,MUS 076 A World of Music,A,1
2019,ENGL 373 African-American Literary Trad,A,1
2017,FILM 320 Intro to Video Pro for Dig Med,D,1
2018,ENGL 201 Introduction to Journalism,A-,1
2017,REL 321 Religion in America,C+,1
2019,ENGL 377 Autobiography & Amer Culture,B-,1
2021,BIOL 493 Seminar,A-,1
2021,BIOL 345 Comparative Vertebrate Anatomy,C-,1
2021,BIOL 333 Insects and Arthropods,A-,1
2021,CHEM 110B General Chemistry II,B-,1
2021,BIOL 496 Undergraduate Research,B,1
2021,BIOL 384 Marine Biology,B+,1
2021,BIOL 450 Bioinformatics,B,1
2020,ENVS 396 Integrated Research Methods,A,1
2020,ENVS 473 So.Ca.Flora:Ecol/Evol/Taxonomy,A-,1
2020,ENVS 351 Principles of Ecology,A-,1
2020,BIOL 485 Advanced Field Studies,A-,1
2021,ENST 357 Globalization and Environment,B-,1
2021,PHYS 135A Algebra-based Phys I (MWO),B-,1
2021,BIOL 493 Senior Seminar,A-,1
2021,BIOL 493 Seminar,A-,1
2018,REL 390 Feminist Philosophy,B+,1
2018,ENST 230 Green Religion,A-,1
2021,BIOL 251 Ecology & Evol. of Organisms,A,1
2021,BIOL 333 Insects and Arthropods,A-,1
2021,ENVS 330 Soils & Environ. Geomorphology,A-,1
2021,CHEM 110B General Chemistry II,B-,1
2019,ENST 363 Energy and Climate Change,C+,1
